Titre;Créateur;Sujet;Editeur;Type;Format;Identifiant;Source;Langue;Résumé;Date de disponibilité;Date de publication;Importance matérielle;Couverture spatiale;Couverture temporelle;Licence;P35 has identified;P70 documents;P4 has time-span;P14 carried out by;P1 is identified by;P2 has type;;;;;;;;;;;
Plurien (22). La Caillibotière : relevé microtopographique. Rapport de PT 2016;Morel, Alexandre;;Association ARVALES;;;;;French;;Disponible;2016;1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Concarneau (29). Coguen II : des indices d'occupation du Néolithique moyen et du haut Moyen Âge. Rapport de diagnostic;Le Gall, Valérie;RAP03319;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03319;Service régional de l'archéologie de Bretagne;French;;;2016;104.8 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Plouhinec (29). Ménez-Dregan 1 : des Prénéandertaliens aux Néandertaliens à l'extrême ouest de l'Europe. Rapport de FP;GAILLARD Claire;RAP03316;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03316;Service régional de l'archéologie de Bretagne;French;;;2016;62.96 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Lanleff (22). Le Bourg. Rapport de diagnostic;http://www.viaf.org/viaf/22361122 Le Boulanger, Françoise;;INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);;;;;French;;Disponible;2016;1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
(22). Les tumuli de l'âge du Bronze ans le nord-ouest des Côtes d'Armor. Rapport de PI 2016;Le Maire, Mikaël;RAP03320;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03320;Service régional de l'archéologie de Bretagne;French;;;2016;306.4 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Rannée (35). La Sallerie : du Bronze à l'argile; une route au coeur de l'histoire. Rapport de fouille;Le Clézio, Laurence;;Service régional de l'archéologie de Bretagne;;;;;French;;Disponible;2016;1 vol. (p.) : ill. en coul. ;;;;;;;;;;;;;;;;;;;
Morlaix (29). Kergariou. Rapport de diagnostic;CASADEBAIG Sophie;RAP03094;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03094;Service régional de l'archéologie de Bretagne;French;;;2015;15,66 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Plédéliac; Pléven (22). La Ville Merien et Le Champ du Moulin. Rapport de diagnostic;http://www.viaf.org/viaf/307214042 Mentele, Serge;RAP03093;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03093;Service régional de l'archéologie de Bretagne;French;;;2015;(6,2 Ko) PDF File | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;
Chantepie (35). La Planche. Rapport de diagnostic;Leroux, Gilles;RAP03280;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03280;Service régional de l'archéologie de Bretagne;French;;;2016;3,35 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Bodilis; La Martyre et Ploudiry (29). Le Moulin de Créac'h Guial; Roudouguenvez et Keramen Izella. Rapport de diagnostic;http://www.viaf.org/viaf/41873469 Leroux, Gilles;RAP03282;INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);Online PDF file;;RAP03282;Service régional de l'archéologie de Bretagne;French;;;2016;12,47 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;
Vannes (56). 13 bis rue Saint-Tropez. Rapport de diagnostic;SERIS Damien;RAP03281;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03281;Service régional de l'archéologie de Bretagne;French;;;2016;6,78 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Ploemel (56). Poul Hoh. Rapport de sondage;KAYSER Olivier;RAP03097;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03097;Service régional de l'archéologie de Bretagne;French;;;1994;10,074 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Vannes (56). 15 avenue Édouard Herriot. Rapport de diagnostic;http://www.viaf.org/viaf/224772560 Pouille, Dominique;RAP03095;INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);Online PDF file;;RAP03095;Service régional de l'archéologie de Bretagne;French;;Disponible;2015;3,90 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Janzé (35). La Lande au Brun. Rapport de diagnostic;http://www.viaf.org/viaf/8490149719122411130009 Bourne, Stéphane;;INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);;;RAP03101;;French;;Disponible;2015;6,61 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Caudan (56). Lenn Sec'h : occupations néolithiques et médiévales. Rapport de fouille;http://www.viaf.org/viaf/1200159234717103372444 Crowch, Aurélie;;Conseil départemental du Morbihan;;;;;French;;Disponible;2015;1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Vannes (56). 27 impasse Joseph Loth. Rapport de fouille;OEIL DE SALEYS Sébastien;RAP03100;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03100;Service régional de l'archéologie de Bretagne;French;;;2015;13,09 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Sarzeau (56). Château de Suscinio; le logis Nord. Rapport intermédiaire de FP 2013-2015;http://www.viaf.org/viaf/508159234258103371010 Vincent, Karine;RAP03099;Conseil départemental du Morbihan;Online PDF file;;RAP03099;Service régional de l'archéologie de Bretagne;French;;;2015;21,99 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;
Saint-Sauveur-des-Landes (35). ZAC des Vairies; Les Croisés : un établissement rural gaulois en milieu humide. Rapport de fouille;http://www.viaf.org/viaf/67150565733806252223 Sicard, Sandra;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);;;54241;;French;;Disponible;2016;2 vol. (561-369 p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;
Carhaix-Plouguer (29). Rue Bobby Sands. Rapport de diagnostic;BATT Michaël;RAP03127;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03127;Service régional de l'archéologie de Bretagne;French;;;1995;10,367 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Baden (56). Rue de Lannic : des structures de l'âge du Bronze et du Gallo-romain. Rapport de diagnostic;Sicard, Sandra;RAP03129;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03129;Service régional de l'archéologie de Bretagne;French;;;2015;8,36 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Brest (29). ZAC de la Fontaine Margot; tranche 2. Rapport de diagnostic;CASADEBAIG Sophie;RAP03131;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03131;Service régional de l'archéologie de Bretagne;French;;;2015;3,50 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;
Rennes (35). Rue Jean-Marie Duhamel (puits Duhamel; métro ligne B). Rapport de diagnostic;http://www.viaf.org/viaf/224772560 Pouille, Dominique;RAP03132;INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);Online PDF file;;RAP03132;Service régional de l'archéologie de Bretagne;French;;Disponible;2015;9,44 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;
Redon (35). 16 place Saint-Sauveur;Cahu, Didier;;INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);;;;;French;;Disponible;2015;7,64 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Theix (56). Talhouet. Rapport de sauvetage;http://www.viaf.org/viaf/222448258 André, Patrick;RAP03135;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03135;Service régional de l'archéologie de Bretagne;French;;;1981;2,873 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Quimper (29). La carte archéologique de Quimper. Rapport de FP;http://www.viaf.org/viaf/36929479 Le Bihan, Jean-Paul;RAP03136;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03136;Service régional de l'archéologie de Bretagne;French;;;1999;13,741 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
(56). Autour du golfe du Morbihan; les landes de Lanvaux et le sud de la vallée de la Vilaine. Rapport de PD 2014;http://www.viaf.org/viaf/167436025 Daré, Sébastien;RAP03121;Centre d'Études et de Recherches Archéologiques du Morbihan (CERAM);Online PDF file;;RAP03121;Service régional de l'archéologie de Bretagne;French;;Disponible;2015;146 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;
Guignen (35). Le Tertre : occupations de La Tène moyenne - La Tène finale. Rapport de fouille;Barbeau, Sandrine;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);;;;;French;;Disponible;2015;1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Noyal-sur-Vilaine (35). La Rebourserie : Le Clos Saint-Pierre; un établissement rural fortifié des XIIe-XVe siècles en Pays de Rennes. Rapport de fouille;DELAHAYE François;RAP03134;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03134;Service régional de l'archéologie de Bretagne;French;;;2015;14,41 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;
Ossé (35). La Claraiserie (tracé de la LGV Rennes - Le Mans; secteur 2) : une exploitation agricole de la fin du second âge du Fer et du début de l'Antiquité. Rapport de fouille;Le Gall, Joseph;RAP03133;INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);Online PDF file;;RAP03133;Service régional de l'archéologie de Bretagne;French;;;2015;43,71 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;
Guipavas (29). ZAC Nord Lavallot : occupations diachroniques du plateau Léonard : des premiers agriculteurs à la libération de Brest. Rapport de diagnostic;http://www.viaf.org/viaf/58608823 Pailler, Yvan;RAP03137;INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);Online PDF file;;RAP03137;Service régional de l'archéologie de Bretagne;French;;;2015;54,85 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Montgermont (35). ZAC Les Petits Prés : un établissement rural antique de la région rennaise. Rapport de fouille;http://www.viaf.org/viaf/11144928021854340055 Le Martret, Annaïg;;EVEHA;;;;;French;;;2015;205 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Carhaix-Plouguer (29). Rue Le Borgne. Rapport de diagnostic;Le Cloirec, Gaétan;RAP03139;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03139;Service régional de l'archéologie de Bretagne;French;;;2015;5,70 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Carnac (56). 46 route de Ker Lann. Rapport de diagnostic;HENAFF Xavier;RAP03285;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03285;Service régional de l'archéologie de Bretagne;French;;;2016;53 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Dinan (22). Place Duclos; rue de la Garaye; rue Thiers; porte de Saint-Malo et rue de l'école. Rapport de fouille;Lecampion, Fabrice;;INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);;;;;French;;Disponible;2016;1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;
Carhaix-Plouguer (29). Kergorvo 2. Rapport de diagnostic;Nicolas, Éric;RAP03288;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03288;Service régional de l'archéologie de Bretagne;French;;;2016;42.10 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Domloup (35). ZAC du Tertre; tranche 3 : un enclos funéraire du premier âge du Fer. Rapport de fouille;http://www.viaf.org/viaf/67150565733806252223 Sicard, Sandra;RAP03286;INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);Online PDF file;;RAP03286;Service régional de l'archéologie de Bretagne;French;;;2016;53.39 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;
Plélan-le-Grand (35). Enceintes de Bernohen. Rapport de sondage 2014;Corre, André;RAP03141;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03141;Service régional de l'archéologie de Bretagne;French;;;2015;26,26 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Éléments pour une nouvelle approche de l'âge du Bronze en Bretagne ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Riantec (56). Kerostin : une occupation diachronique continue du Néolithique moyen à la seconde guerre mondiale. Rapport de fouille;Simier, Bastien;;INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);;;;;French;;Disponible;2015;51,20 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Vannes (56). Rue Émile Burgault; rue Thomas de Closmadeuc; place Lucien Laroche. Rapport de diagnostic;http://www.viaf.org/viaf/224772560 Pouille, Dominique;RAP03295;INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);Online PDF file;;RAP03295;Service régional de l'archéologie de Bretagne;French;;;2016;3.14 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;
Lampaul-Ploudalmézeau (29). Sondages; suivi et études archéologiques du site de l'île du Bec. Rapport de sondage 2016;http://www.viaf.org/viaf/14788952 Daire, Marie-Yvane;RAP03290;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03290;Service régional de l'archéologie de Bretagne;French;;;2016;55.82 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;
Vannes (56). Rue du 28ème R.A. Rapport de diagnostic;http://www.viaf.org/viaf/224772560 Pouille, Dominique;RAP03293;INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);Online PDF file;;RAP03293;Service régional de l'archéologie de Bretagne;French;;Disponible;2016;31.35 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Vannes (56). 6 rue de l' Abbé Jacob. Rapport de diagnostic;http://www.viaf.org/viaf/224772560 Pouille, Dominique;RAP03294;INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);Online PDF file;;RAP03294;Service régional de l'archéologie de Bretagne;French;;Disponible;2016;7.998 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Hillion (22). Champ du Pommier : découverte de vestiges protohistoriques anciens. Rapport de diagnostic;Roy, Eddie;RAP03292;INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);Online PDF file;;RAP03292;Service régional de l'archéologie de Bretagne;French;;;2016;33.25 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Camors; La Chapelle-Neuve; Brandivy (56). Forêt domaniale des Landes de Lanvaux (forêts de Camors; Floranges et Lanvaux). Rapport de prospection;http://www.viaf.org/viaf/15097194 Dardignac, Cécile;;Service régional de l'archéologie de Bretagne;;;;;French;;;2016;19.25 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;
Iffendic (35). Le château de Boutavent;Corre, André;RAP03296;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03296;Service régional de l'archéologie de Bretagne;French;;;2016;13.89 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Milizac (29). Keromnes. Rapport de diagnostic;http://www.viaf.org/viaf/307214042 Mentele, Serge;RAP03299;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03299;Service régional de l'archéologie de Bretagne;French;;;2016;8.88 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Ossé (35). Le Bourg; 3 Rue de la Mairie. Une nécropole du Haut Moyen Âge. Rapport de sondage;http://www.viaf.org/viaf/19570701 Villard, Anne;RAP02771;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP02771;Service régional de l'archéologie de Bretagne;French;;;2010;59.2 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;
Neuillac (56). Secteur Kergouet. Rapport de diagnostic;Fouvez, Yannick;RAP03289;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03289;Service régional de l'archéologie de Bretagne;French;;;2016;1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Moréac; Bignan (56). Déviation de la RD 767 Locminé; tranche opérationnelle 1. Rapport de diagnostic;http://www.viaf.org/viaf/1200159234717103372444 Crowch, Aurélie;RAP03301;Conseil départemental du Morbihan;Online PDF file;;RAP03301;Service régional de l'archéologie de Bretagne;French;;;2016;13,84 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;
Étel (56). La Falaise : un atelier de salaisons et sauces de poisson antique. Rapport de sondage 2008;DRIARD Cyril;RAP03034;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03034;Service régional de l'archéologie de Bretagne;French;;;2014;121.6 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Monteneuf  (56). Inventaire; description et cartographie des blocs de la parcelle 1 du site archéologique des Pierres Droites. Rapport de PT 2014;TARDIEU Claire;RAP03088;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03088;Service régional de l'archéologie de Bretagne;French;;;2015;20.72 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;
Rannée (35). La Chaussée. Rapport de fouille;http://www.viaf.org/viaf/22147602694057642310 Delalande, Audrey;;EVEHA;;;RAP03300;;French;;Disponible;2016;36.42 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Plesder (35). Pilleverte II : un atelier gallo-romain de production massive de fer du grand Ouest. Rapport de FP;http://www.viaf.org/viaf/120757725 Vivet, Jean-Bernard;;Service régional de l'archéologie de Bretagne;;;;;French;;Disponible;2016;48,21 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Saint-Pierre-Quiberon (56). Allée du Moulin. Rapport de diagnostic;http://www.viaf.org/viaf/46038290 Hinguant, Stéphan;;INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);;;RAP03326;;French;;Disponible;2016;1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Sarzeau (56). Château de Suscinio; le logis nord. Rapport intermédiaire de FP 2013-2015;http://www.viaf.org/viaf/508159234258103371010 Vincent, Karine;RAP02914;Conseil départemental du Morbihan;Online PDF file;;RAP02914;Service régional de l'archéologie de Bretagne;French;;;2013;1528 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;
Brest (29). Spernot; Messioual : des occupations protohistoriques et médiévales aux deux extrémités de la déviation de Spernot. Rapport de fouille;Oeil de Saleys, Sébastien;;INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);;;RAP03298;;French;;Disponible;2016;1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;
Cesson-Sévigné (35). LGV Le Mans/Rennes; secteur 1; La Salmondière. Rapport final d’opération;http://www.viaf.org/viaf/214920281 Durand, Jean-Claude;RAP03142;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);Online PDF file;;RAP03142;Service régional de l'archéologie de Bretagne;French;;;2015;736 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;
Plabennec (29). Leskelen;http://www.viaf.org/viaf/230997553 Irien, Joseph;;Service régional de l'archéologie de Bretagne;;;;;French;;Consultable uniquement au SRA;1977;1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Vannes (56). 50-52 rue Irène Joliot-Curie. Rapport de diagnostic;BELANGER Céline;RAP03336;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03336;Service régional de l'archéologie de Bretagne;French;;;2016;5,69 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Plouezoc'h (29). Sondage au sein de la chambre H du tumulus sud de Barnenez. Rapport de sondage;http://www.viaf.org/viaf/24757686 Laporte, Luc, 1962-;;Service régional de l'archéologie de Bretagne;;;55059;;French;;Disponible;2016;29.84 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Évriguet (56). La Ville Geffray. Rapport de diagnostic;http://www.viaf.org/viaf/46038290 Hinguant, Stéphan;RAP03338;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03338;Service régional de l'archéologie de Bretagne;French;;;2016;2,98 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
La Vicomté-sur-Rance (22). Launay-Jannais. Rapport de diagnostic;http://www.viaf.org/viaf/46038290 Hinguant, Stéphan;RAP03337;INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);Online PDF file;;RAP03337;Service régional de l'archéologie de Bretagne;French;;;2016;5,17 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Morlaix (29). Musée-Église des Jacobins. Rapport de diagnostic;Béthus, Teddy;RAP03339;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03339;Service régional de l'archéologie de Bretagne;French;;;2016;11,404 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Larmor-Plage (56). Quelisoye; Les Bruyères : Occupations rurales protohistoriques. Rapport de fouille;http://www.viaf.org/viaf/307214041 Blanchet, Stéphane;RAP03330;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);Online PDF file;;RAP03330;Service régional de l'archéologie de Bretagne;French;;;2016;180.8 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;
Liffré (35). Lotissement de Penloup. Rapport de diagnostic;Hamon, Anne-Louise;RAP03341;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03341;Service régional de l'archéologie de Bretagne;French;;;2016;6,60 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Monteneuf  (56). Inventaire; description et cartographie des blocs de la parcelle XC 102 du site archéologique des Pierres Droites. Rapport de FP;TARDIEU Claire;RAP03332;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03332;Service régional de l'archéologie de Bretagne;French;;;2016;682.4  Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;
Rennes (35). Prospections thématiques sur le tracé de l'enceinte de la Ville Neuve (1420-1450). Rapport de PT;LE BOULCH Mathieu;RAP03344;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03344;Service régional de l'archéologie de Bretagne;French;;;2016;17,05 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Mordelles (35). ZAC Val de Sermon : des champs au hameau (du 1er s. ap J.-C. à nos jours). Rapport de fouille;http://www.viaf.org/viaf/22361122 Le Boulanger, Françoise;RAP03328;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03328;Service régional de l'archéologie de Bretagne;French;;;2016;345.6 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Plonéour-Lanvern (29). Kersulec : un dépôt en fosse du Néolithique moyen 2 et une occupation de l'âge du Bronze ancien. Rapport de fouille;http://www.viaf.org/viaf/58608823 Pailler, Yvan;RAP03340;INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);Online PDF file;;;Service régional de l'archéologie de Bretagne;French;;Disponible;2016;1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Bais; Louvigné-de-Bais (35). Carrière des Vallons; Étang de Daniel; ensemble 1 : occupations laténiennes et gallo-romaines. Rapport de fouille;http://www.viaf.org/viaf/214920281 Durand, Jean-Claude;;https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);;;RAP03329;;French;;Disponible;2016;464 Mo | 2 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;
Chavagne (35). La Touche; tranche 2 : des premiers aménagements du territoire aux origines du village. Rapport de fouille;Le Gall, Joseph 19..-.... développeur;RAP03342;INRAP | https://www.idref.fr/069185719 Institut national de recherches archéologiques préventives (France);Online PDF file;;RAP03342;Service régional de l'archéologie de Bretagne;French;;;2016;398,18 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;
Léhon (22). Saint-Suliac. Rapport de sondage;http://www.viaf.org/viaf/56621663 Ménez, Yves;;DRAC Bretagne. Circonscription des Antiquités de Bretagne;;;51383;;French;;Disponible;1991;1 vol. (3 p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Les premiers peuplements de l'ouest de la France : dépôts pléistocènes et occupations paléolithiques de la région Bretagne. Rapport de PCR;RAVON Anne-Lyse;RAP03347;Service régional de l'archéologie de Bretagne;Online PDF file (31,63 Mo);;RAP03347;Service régional de l'archéologie de Bretagne;French;;;2016;1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Quiberon (56). Beg-er-Vil : Un habitat du Mésolithique sur le littoral du Morbihan. Rapport de FP;Marchand, Grégor;RAP03345;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03345;Service régional de l'archéologie de Bretagne;French;;;2016;11,903 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Plomelin (29). La villa du Pérennou. Rapport de Fouille Programmée;http://www.viaf.org/viaf/194705483 Arramond, Jean-Charles;RAP03346;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03346;Service régional de l'archéologie de Bretagne;French;;;2016;PDF File | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Bangor; Le Palais; Locmaria; Sauzon (56). Belle-Île-en-Mer : espaces et territorialité d'une île atlantique. Rapport de PCR 2016;AUDOUARD Lorena;RAP03348;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03348;Service régional de l'archéologie de Bretagne;French;;;2017;34,83 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;
La Bretagne intérieure du Néolithique au seuil de l'Age du Bronze : implantation des sites et organisation des territoires;http://www.viaf.org/viaf/177150565730906252556 Jallot, Rosalie, 19..-;;Service régional de l'archéologie de Bretagne;;;;;French;;Disponible;2016;4 vol. (452 - 309 - 307 - 305 p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Plénée-Jugon (22). Les Touches; projet RD 59. Rapport de fouille;Sassi, Mohamed;;EVEHA;;;;;French;;Disponible;2016;3 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;
La région de Paimpont (35). Rapport de prospection thématique;LARCHER Guy;RAP00550;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP00550;Service régional de l'archéologie de Bretagne;French;;;1992;PDF File | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Évriguet (56). La Ville Geffray. Rapport de diagnostic;http://www.viaf.org/viaf/46038290 Hinguant, Stéphan;RAP03338;Service régional de l'archéologie de Bretagne;Online PDF file;;RAP03338;Service régional de l'archéologie de Bretagne;French;;;2016;3.055 Mo | 1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
Tonquédec (22). Château de Tonquédec. Rapport de fouille programmée;MAILLEN Viviane;;Service régional de l'archéologie de Bretagne;;;RAP00735;;French;;Disponible;1983;1 vol. (p.) : ill. en coul.;;;;;;;;;;;;;;;;;;;;
